Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
World,2058,2102,2102,2148,2166,2203,2294,2297,2344,2418,2504,2549,2612,2709,2788,2867,2958,3035,3160,3059,3280,3369,3423,3492,3541,3590,3628,3781,3975
OECD,881,903,922,958,995,1010,1063,1067,1073,1084,1110,1130,1122,1124,1121,1103,1121,1132,1172,1157,1185,1206,1230,1238,1277,1305,1319,1363,1454
G7,707,717,732,763,801,810,837,843,850,861,885,896,874,874,849,828,833,840,853,840,850,882,902,902,956,991,989,1014,1108
BRICS,663,668,667,647,638,631,640,616,637,642,637,638,658,686,705,721,742,749,778,727,821,843,829,852,833,829,837,901,957
Europe,242,257,255,269,269,278,314,307,305,311,320,323,331,332,341,329,322,309,328,310,317,292,294,287,269,261,259,260,240
European Union,213,228,225,239,237,246,272,260,256,259,265,264,260,254,259,241,231,217,222,200,206,185,174,173,155,139,138,131,112
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,3,3,3,3,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Germany,19,19,19,19,20,21,23,22,22,23,22,22,22,22,20,20,20,20,18,18,15,15,13,12,9,9,9,8,7
Italy,17,17,18,20,21,20,20,19,19,17,17,15,15,14,13,12,11,10,9,8,8,8,9,8,7,7,6,6,5
Netherlands,76,86,86,88,84,85,96,85,81,76,74,78,76,73,86,78,77,74,85,79,90,83,82,87,72,55,53,46,31
Poland,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,28,25,22,21,19,18,17,15,14,14,14,14,13,13,13,12,12,12,11,11,11,11,11,11,11,11,10,11,10
Spain,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,50,57,56,66,70,76,90,92,96,105,115,111,109,109,102,93,84,76,73,61,58,46,40,37,39,41,42,42,40
Norway,28,27,29,29,31,31,41,47,48,51,53,58,69,77,81,87,89,92,105,109,110,106,119,113,113,121,121,128,127
Turkey,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
CIS,800,798,764,751,709,700,707,662,680,694,709,712,731,763,780,797,813,824,852,747,828,867,859,885,861,860,857,913,972
Kazakhstan,7,8,8,7,4,6,7,8,8,10,9,8,11,13,17,19,20,22,25,27,28,29,31,33,34,38,38,43,45
Russia,629,632,629,607,596,585,591,561,581,581,573,570,584,608,620,628,640,635,651,583,657,673,658,675,647,638,644,694,741
Ukraine,28,23,21,19,18,18,18,18,18,18,18,18,19,19,20,20,21,21,21,21,20,20,20,21,20,20,20,20,20
Uzbekistan,41,42,43,45,47,49,49,51,55,56,56,57,58,58,59,60,63,65,68,61,60,63,63,60,62,62,56,57,60
America,699,703,719,741,776,783,804,817,829,835,864,880,872,887,884,877,905,927,948,947,975,1022,1054,1063,1121,1150,1143,1163,1257
North America,616,618,633,653,685,687,699,705,709,711,726,742,724,725,710,699,713,729,748,748,764,808,837,842,898,931,929,956,1052
Canada,109,115,126,139,150,159,165,168,173,176,182,186,187,184,184,187,188,183,177,164,160,160,156,156,164,165,174,181,188
United States,507,503,507,514,535,528,534,537,536,535,544,556,536,541,527,511,524,546,571,584,604,649,681,686,733,767,755,775,864
Latin America,83,84,85,88,91,95,105,112,120,124,138,137,148,162,174,178,192,198,200,199,211,214,218,221,223,218,214,207,205
Argentina,20,22,23,23,23,26,28,30,32,37,41,41,40,45,48,48,48,46,47,44,42,42,41,39,39,40,43,43,45
Brazil,4,4,4,4,5,5,5,6,6,7,7,7,9,10,11,11,11,11,14,12,15,17,19,21,23,23,24,26,23
Chile,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2
Colombia,5,4,5,5,5,5,5,7,8,7,7,8,8,7,8,8,8,8,9,12,13,12,13,15,15,14,13,12,13
Mexico,26,25,25,26,27,27,30,33,35,36,37,36,37,39,41,43,48,50,50,51,51,49,47,46,45,42,37,31,30
Venezuela,18,18,18,19,20,21,24,24,25,22,23,21,26,24,23,20,21,21,19,19,22,22,23,22,23,23,24,24,21
Asia,134,148,156,164,175,187,203,220,224,241,251,253,272,292,312,334,345,360,379,396,426,425,425,440,451,451,454,468,478
China,15,16,16,17,18,18,20,23,23,25,27,30,33,35,41,49,59,69,80,85,96,105,111,121,130,135,137,148,160
