Natural gas domestic consumption (bcm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2017 - 2018 (%) ,2000 - 2018 (%/year) 
Japan,57,61,62,64,66,69,72,74,76,80,83,82,85,88,88,87,96,105,103,102,108,126,131,131,132,126,131,130,127,-1.9,2.4
Malaysia,8,12,13,12,15,14,17,20,20,23,27,29,29,30,32,38,40,41,46,38,37,38,38,45,45,44,42,44,43,-2.7,2.6
South Korea,3,4,5,6,8,9,12,15,14,17,19,21,23,24,29,30,33,35,36,34,43,47,51,53,47,44,47,49,55,12.4,6.1
Taiwan,2,3,3,3,4,4,4,5,6,6,6,7,8,8,9,10,10,11,12,12,15,16,15,16,16,18,18,20,21,5.6,7.0
Thailand,6,8,8,9,11,11,13,16,17,19,22,26,28,30,31,33,34,36,40,37,42,39,45,48,48,48,47,47,46,-1.3,4.1
Pacific,23,22,23,23,24,25,26,26,27,28,29,30,32,31,32,31,33,37,37,38,40,40,41,43,44,45,50,50,50,0.1,3.1
Australia,18,17,17,18,19,20,20,20,21,22,23,24,26,26,27,27,29,32,33,34,35,35,37,38,39,40,44,45,46,1.6,4.0
New Zealand,5,5,6,5,5,5,6,6,5,6,6,6,6,5,4,4,4,4,4,4,5,4,5,5,5,5,5,5,4,-13.3,-1.9
Africa,35,38,40,43,43,45,46,48,50,55,57,64,69,76,79,89,95,102,103,101,106,116,122,121,122,129,134,142,151,6.4,5.5
Algeria,14,15,16,17,16,17,17,18,18,20,20,20,21,23,23,24,25,26,26,28,27,30,34,35,38,41,41,42,45,6.0,4.7
Egypt,8,9,10,12,12,13,13,13,14,17,18,23,26,29,28,37,39,43,45,44,44,48,48,46,43,45,48,52,56,7.3,6.6
Nigeria,4,5,5,6,5,5,5,6,6,7,8,7,8,11,11,11,12,12,11,10,11,15,15,15,16,17,17,18,20,7.4,5.4
South Africa,2,2,2,2,2,2,2,2,1,2,2,2,2,1,3,3,3,4,4,4,5,5,5,5,5,5,5,6,5,-3.0,6.6
Middle-East,86,91,100,112,126,133,137,148,157,168,175,187,203,215,237,257,280,304,333,344,375,396,411,425,451,480,500,517,539,4.3,6.5
Iran,21,26,27,31,38,42,42,47,51,59,62,66,74,82,93,99,109,123,130,136,144,153,152,153,172,184,197,205,219,7.0,7.2
Kuwait,6,1,5,9,9,9,9,9,9,9,10,10,9,10,11,12,12,12,13,12,15,17,18,18,18,21,22,23,23,2.3,5.0
Saudi Arabia,24,24,27,28,30,30,31,33,34,34,38,39,46,47,51,56,59,61,67,64,73,75,81,82,85,87,91,95,98,2.6,5.4
United Arab Emirates,17,20,19,20,23,25,27,29,30,31,30,36,36,37,40,42,43,48,58,58,61,63,66,67,66,74,75,74,72,-2.5,5.0
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
