,Municipal waste,Industrial waste,Primary solid biofuels,Biogases,Liquid biofuels,Geothermal,Solar thermal,Hydro,Solar PV,"Tide, wave, ocean",Wind,Category,Year
9,15849 TJ-net,0 TJ-net,17888 TJ-net,11215 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Electricity plants,2005
10,0 TJ-net,0 TJ-net,12744 TJ-net,374 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,CHP plants,2005
11,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Heat plants,2005
12,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Other transformation,2005
13,0 TJ-net,0 TJ-net,160 TJ-net,0 TJ-net,0 kt,0 TJ,2 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Energy industry own use,2005
14,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Losses,2005
15,0 TJ-net,0 TJ-net,144048 TJ-net,950 TJ-net,339 kt,305 TJ,2569 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Final consumption,2005
16,0 TJ-net,0 TJ-net,56561 TJ-net,371 TJ-net,0 kt,0 TJ,35 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Industry,2005
17,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,339 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Transport,2005
18,0 TJ-net,0 TJ-net,84706 TJ-net,0 TJ-net,0 kt,80 TJ,1732 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Residential,2005
19,0 TJ-net,0 TJ-net,1848 TJ-net,576 TJ-net,0 kt,42 TJ,769 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Commercial and public services,2005
20,0 TJ-net,0 TJ-net,637 TJ-net,3 TJ-net,0 kt,183 TJ,12 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Agriculture / forestry,2005
21,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,0 kt,0 TJ,5 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Fishing,2005
22,0 TJ-net,0 TJ-net,296 TJ-net,0 TJ-net,0 kt,0 TJ,17 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Other non-specified,2005
23,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Non-energy use,2005
0,1202 GWh,0 GWh,1573 GWh,600 GWh,0 GWh,0 GWh,0 GWh,29831 GWh,125 GWh,0 GWh,23297 GWh,Gross elec generation,2006
1,0 TJ,0 TJ,0 TJ,0 TJ,0 TJ,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Gross heat production,2006
2,21112 TJ-net,0 TJ-net,176109 TJ-net,8703 TJ-net,242 kt,334 TJ,3068 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Production,2006
3,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Imports,2006
4,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Exports,2006
5,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Stock changes,2006
6,21112 TJ-net,0 TJ-net,176109 TJ-net,8703 TJ-net,242 kt,334 TJ,3068 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Domestic supply,2006
7,0 TJ-net,0 TJ-net,0 TJ-net,-2 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Statistical differences and transfers,2006
8,21112 TJ-net,0 TJ-net,21679 TJ-net,5982 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Transformation,2006
9,21112 TJ-net,0 TJ-net,2984 TJ-net,3628 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Electricity plants,2006
10,0 TJ-net,0 TJ-net,18695 TJ-net,2354 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,CHP plants,2006
11,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Heat plants,2006
12,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Other transformation,2006
13,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,0 kt,0 TJ,2 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Energy industry own use,2006
14,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Losses,2006
15,0 TJ-net,0 TJ-net,154430 TJ-net,2719 TJ-net,242 kt,334 TJ,3066 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Final consumption,2006
16,0 TJ-net,0 TJ-net,65482 TJ-net,997 TJ-net,0 kt,0 TJ,40 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Industry,2006
17,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,242 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Transport,2006
18,0 TJ-net,0 TJ-net,85036 TJ-net,0 TJ-net,0 kt,109 TJ,2090 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Residential,2006
19,0 TJ-net,0 TJ-net,2850 TJ-net,1719 TJ-net,0 kt,42 TJ,891 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Commercial and public services,2006
20,0 TJ-net,0 TJ-net,766 TJ-net,3 TJ-net,0 kt,183 TJ,24 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Agriculture / forestry,2006
21,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,0 kt,0 TJ,5 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Fishing,2006
22,0 TJ-net,0 TJ-net,296 TJ-net,0 TJ-net,0 kt,0 TJ,17 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Other non-specified,2006
23,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Non-energy use,2006
0,1474 GWh,0 GWh,1553 GWh,608 GWh,0 GWh,0 GWh,8 GWh,30522 GWh,507 GWh,0 GWh,27568 GWh,Gross elec generation,2007
1,0 TJ,0 TJ,0 TJ,0 TJ,0 TJ,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Gross heat production,2007
2,25890 TJ-net,0 TJ-net,177174 TJ-net,9077 TJ-net,522 kt,389 TJ,3952 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Production,2007
3,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,150 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Imports,2007
4,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,-192 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Exports,2007
5,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Stock changes,2007
6,25890 TJ-net,0 TJ-net,177174 TJ-net,9077 TJ-net,480 kt,389 TJ,3952 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Domestic supply,2007
7,0 TJ-net,0 TJ-net,0 TJ-net,1 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Statistical differences and transfers,2007
8,25890 TJ-net,0 TJ-net,21400 TJ-net,6047 TJ-net,0 kt,0 TJ,74 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Transformation,2007
9,25890 TJ-net,0 TJ-net,2951 TJ-net,3642 TJ-net,0 kt,0 TJ,74 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Electricity plants,2007
10,0 TJ-net,0 TJ-net,18449 TJ-net,2405 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,CHP plants,2007
11,0 TJ-net,0 TJ-net,0 TJ-net,0 TJ-net,0 kt,0 TJ,0 TJ,UNIT N/A,UNIT N/A,UNIT N/A,UNIT N/A,Heat plants,2007
