,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
6,2194 ktoe,5214 ktoe,906 ktoe,3228 ktoe,0 ktoe,2006 ktoe,2089 ktoe,1322 ktoe,0 ktoe,0 ktoe,16959 ktoe,TPES,2005
7,0 ktoe,-170 ktoe,178 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,8 ktoe,Transfers,2005
8,-39 ktoe,126 ktoe,-210 ktoe,-5 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-4 ktoe,0 ktoe,-132 ktoe,Statistical differences,2005
9,-1211 ktoe,0 ktoe,-1 ktoe,-1217 ktoe,0 ktoe,-2006 ktoe,-1775 ktoe,-35 ktoe,3411 ktoe,-33 ktoe,-2867 ktoe,Electricity plants,2005
10,-179 ktoe,0 ktoe,0 ktoe,-501 ktoe,0 ktoe,0 ktoe,-75 ktoe,-109 ktoe,277 ktoe,33 ktoe,-556 ktoe,CHP plants,2005
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2005
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2005
13,0 ktoe,-5171 ktoe,5426 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,255 ktoe,Oil refineries,2005
14,-127 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-127 ktoe,Coal transformation,2005
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2005
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2005
17,-57 ktoe,0 ktoe,-336 ktoe,-155 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-164 ktoe,0 ktoe,-712 ktoe,Energy industry own use,2005
18,-6 ktoe,0 ktoe,0 ktoe,-16 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-256 ktoe,0 ktoe,-279 ktoe,Losses,2005
19,575 ktoe,0 ktoe,5963 ktoe,1333 ktoe,0 ktoe,0 ktoe,239 ktoe,1178 ktoe,3263 ktoe,0 ktoe,12551 ktoe,Total final consumption,2005
20,483 ktoe,0 ktoe,426 ktoe,704 ktoe,0 ktoe,0 ktoe,136 ktoe,1010 ktoe,1317 ktoe,0 ktoe,4076 ktoe,Industry,2005
21,2 ktoe,0 ktoe,4532 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,6 ktoe,0 ktoe,4540 ktoe,Transport,2005
22,20 ktoe,0 ktoe,67 ktoe,141 ktoe,0 ktoe,0 ktoe,16 ktoe,163 ktoe,1045 ktoe,0 ktoe,1452 ktoe,Residential,2005
23,43 ktoe,0 ktoe,150 ktoe,166 ktoe,0 ktoe,0 ktoe,76 ktoe,4 ktoe,703 ktoe,0 ktoe,1142 ktoe,Commercial and public services,2005
24,27 ktoe,0 ktoe,371 ktoe,44 ktoe,0 ktoe,0 ktoe,11 ktoe,0 ktoe,121 ktoe,0 ktoe,574 ktoe,Agriculture / forestry,2005
25,0 ktoe,0 ktoe,131 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,7 ktoe,0 ktoe,138 ktoe,Fishing,2005
26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,65 ktoe,0 ktoe,65 ktoe,Non-specified,2005
27,0 ktoe,0 ktoe,286 ktoe,277 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,563 ktoe,Non-energy use,2005
0,3404 ktoe,1061 ktoe,0 ktoe,3311 ktoe,0 ktoe,2027 ktoe,2167 ktoe,1321 ktoe,0 ktoe,0 ktoe,13291 ktoe,Production,2006
1,638 ktoe,4780 ktoe,2093 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,7510 ktoe,Imports,2006
2,-1934 ktoe,-680 ktoe,-95 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2710 ktoe,Exports,2006
3,0 ktoe,0 ktoe,-305 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-305 ktoe,International marine bunkers,2006
4,0 ktoe,0 ktoe,-732 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-732 ktoe,International aviation bunkers,2006
5,-155 ktoe,102 ktoe,-32 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-84 ktoe,Stock changes,2006
6,1952 ktoe,5263 ktoe,928 ktoe,3311 ktoe,0 ktoe,2027 ktoe,2167 ktoe,1321 ktoe,0 ktoe,0 ktoe,16970 ktoe,TPES,2006
